,symbol,momentum_ratio,time_frame,atr_length,wait_time,tp_deviation,sl_deviation,order_deviation,risk_reward,fifty,ma,counts,balance,strategy,profit,loss,win_rate,draw_down,score
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,30,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,30,3,-158.0341999999711,mbm,693.43,-951.46,0.5,491.26,1.97
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,30,3,-158.0341999999711,v_ptr,693.43,-951.46,0.33,491.26,1.8
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,30,12,2248.174300000001,bbm,3536.2,-1388.02,0.75,776.68,2.26
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,80,2,312.4587999999917,mbm,628.92,-416.46,0.5,416.46,1.98
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,80,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,80,4,329.76580000002883,v_ptr,1181.23,-951.46,0.5,491.26,1.98
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,80,11,1632.8791000000035,bbm,2920.9,-1388.02,0.73,776.68,2.23
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,120,1,-316.4648000000079,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,120,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,120,11,1632.8791000000035,bbm,2920.9,-1388.02,0.73,776.68,2.23
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,1,0,120,4,329.76580000002883,v_ptr,1181.23,-951.46,0.5,491.26,1.98
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,30,2,946.3023999999882,mbm,1262.77,-416.46,0.5,416.46,2.0
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,30,3,-656.5867400000106,color,342.41,-1099.0,0.33,1099.0,1.75
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,30,3,-391.92044999997495,v_ptr,460.35,-952.27,0.33,491.92,1.79
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,30,12,1801.8197999999752,bbm,3512.01,-1810.19,0.5,1199.35,1.98
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,80,2,946.3023999999882,mbm,1262.77,-416.46,0.5,416.46,2.0
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,80,3,-656.5867400000106,color,342.41,-1099.0,0.33,1099.0,1.75
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,80,4,588.4795500000251,v_ptr,1440.75,-952.27,0.5,491.66,1.98
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,80,11,1393.26299999998,bbm,3103.45,-1810.19,0.45,1199.35,1.92
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,120,1,-316.464800000008,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,120,3,-656.5867400000106,color,342.41,-1099.0,0.33,1099.0,1.75
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,120,4,588.4795500000251,v_ptr,1440.75,-952.27,0.5,491.66,1.98
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,3,0,120,11,1393.26299999998,bbm,3103.45,-1810.19,0.45,1199.35,1.92
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,30,2,1897.0677999999907,mbm,2213.53,-416.46,0.5,416.46,2.02
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,30,3,-1368.5960000000089,color,0.0,-1468.6,0.0,1468.6,1.39
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,30,3,-1368.5960000000089,v_ptr,0.0,-1070.99,0.0,1468.6,1.39
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,30,11,-661.3279100000417,bbm,1616.85,-2378.18,0.27,1611.56,1.67
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,80,2,1897.0677999999907,mbm,2213.53,-416.46,0.5,416.46,2.02
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,80,3,-1368.5960000000089,color,0.0,-1468.6,0.0,1468.6,1.39
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,80,4,-729.489499999985,v_ptr,241.5,-1070.99,0.25,829.49,1.68
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,80,10,-553.0387100000406,bbm,1616.85,-2269.89,0.3,1611.56,1.7
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,120,1,-316.46480000000804,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,120,3,-1368.5960000000089,color,0.0,-1468.6,0.0,1468.6,1.39
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,120,3,-1368.5960000000089,v_ptr,241.5,-1070.99,0.25,1468.6,1.64
0,BITCOIN,0.6,30,30,30,0.0,0.0,0.0,6,0,120,10,-553.0387100000406,bbm,1616.85,-2269.89,0.3,1611.56,1.7
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,30,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,30,3,644.0204000000024,mbm,628.92,-416.46,0.5,812.01,1.97
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,30,12,2248.174300000001,bbm,3536.2,-1388.02,0.75,776.68,2.26
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,30,3,-158.0341999999711,v_ptr,693.43,-951.46,0.33,491.26,1.8
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,80,2,312.4587999999917,mbm,628.92,-416.46,0.5,416.46,1.98
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,80,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,80,4,329.76580000002883,v_ptr,1181.23,-951.46,0.5,491.26,1.98
